Containment_zones,ward,no,pin,address
"HE 132 400051 Seva Sangh, Shyam Sundar Chawl,,Sidhartha Nagar, Vijay Nagar,Bandra (E)",HE,132,400051,"Seva Sangh, Shyam Sundar Chawl,,Sidhartha Nagar, Vijay Nagar,Bandra (E)"
"HE 133 400051 Hinga Galli, Madina Building, Ahmed Zakeria Nagar, Hajiki Chawl, Malan Galli, Enabuy Galli, Kolsewadi Galli, Haji Suleman Chawl, Lakdawaala Galli,,Beharampada,Bandra",HE,133,400051,"Hinga Galli, Madina Building, Ahmed Zakeria Nagar, Hajiki Chawl, Malan Galli, Enabuy Galli, Kolsewadi Galli, Haji Suleman Chawl, Lakdawaala Galli,,Beharampada,Bandra"
"HE 134 400051 Basera Society, Pathar Nagar, Islampura,Hardeva Chadaliya,,Bharat Nagar, Valmiki Nagar,Bandra (E)",HE,134,400051,"Basera Society, Pathar Nagar, Islampura,Hardeva Chadaliya,,Bharat Nagar, Valmiki Nagar,Bandra (E)"
"HE 135 400051 Jai Ma Sharada Rahivasi Sevak,,Dnyaneshwar Nagar,Bandra (E)",HE,135,400051,"Jai Ma Sharada Rahivasi Sevak,,Dnyaneshwar Nagar,Bandra (E)"
"HE 136 400055 Gajanan Rahivasi Sangh,Mahakali Shivshankar,Sai Kreeda Mandal,Kamlakar Patil Chwal,,Agripada,Santacruz (E)",HE,136,400055,"Gajanan Rahivasi Sangh,Mahakali Shivshankar,Sai Kreeda Mandal,Kamlakar Patil Chwal,,Agripada,Santacruz (E)"
"HE 137 400055 Mosambi Tabela,Murgaon Chawl, Lasun Vali Church,Milind Nagar,Shubrmaniyam Nagar, Anushakti Chawl,,Gaondevi- D'Mello Compound,Santacruz (E)",HE,137,400055,"Mosambi Tabela,Murgaon Chawl, Lasun Vali Church,Milind Nagar,Shubrmaniyam Nagar, Anushakti Chawl,,Gaondevi- D'Mello Compound,Santacruz (E)"
"HE 138 400055 Gate No 1,Shri Ram Chawl Comette,Baburao Gupta Chawl,Gate No 2,Lok Seva Mitra Mandal,Gaiwala Chawl,Buddhavihar Chawl,Sonawane Chawl, Gupta Chawl,,Hanuman",HE,138,400055,"Gate No 1,Shri Ram Chawl Comette,Baburao Gupta Chawl,Gate No 2,Lok Seva Mitra Mandal,Gaiwala Chawl,Buddhavihar Chawl,Sonawane Chawl, Gupta Chawl,,Hanuman"
"HE 139 400055 Doctor Chawl,Adarsh Lane,,,Dawari Nagar,Santacruz (E)",HE,139,400055,"Doctor Chawl,Adarsh Lane,,,Dawari Nagar,Santacruz (E)"
"HE 140 400055 Milan Chawl,Abdul Rasul Tailor Chawl,Gomes Chawl,Sambhaji Seva Mandal,Gurubaksha Punjabi Chawl,Sanjivani Society,Nanku Singh Chawl,Manohar Compound,Ram Raj",HE,140,400055,"Milan Chawl,Abdul Rasul Tailor Chawl,Gomes Chawl,Sambhaji Seva Mandal,Gurubaksha Punjabi Chawl,Sanjivani Society,Nanku Singh Chawl,Manohar Compound,Ram Raj"
"HE 141 400055 Sanmitra Mandal,New Sahkar, Prerna Mandal, New Chawl,Lokmanya Tilak Nagar,Amar Hindi Mandal, Vijay Nagar, Seva Sangh,,Patel Nagar, Maratha Colony, Indra",HE,141,400055,"Sanmitra Mandal,New Sahkar, Prerna Mandal, New Chawl,Lokmanya Tilak Nagar,Amar Hindi Mandal, Vijay Nagar, Seva Sangh,,Patel Nagar, Maratha Colony, Indra"
"HE 142 400055 Dayaram Chawl, Jai Bharat Chawl,,Jayhind Nagar, Deepakwadi,Santacruz (E)",HE,142,400055,"Dayaram Chawl, Jai Bharat Chawl,,Jayhind Nagar, Deepakwadi,Santacruz (E)"
"HE 143 400055 Mk Patel Nagar, Yunus Miyan Chawl,,Navpada,Santacruz (E)",HE,143,400055,"Mk Patel Nagar, Yunus Miyan Chawl,,Navpada,Santacruz (E)"
"HE 144 400055 Parvez Chawl, Ghadiyal Chawl, Shri Ram Tailor Chawl,,Shastri Nagar, Kunchikurve Nagar,Santacruz (E)",HE,144,400055,"Parvez Chawl, Ghadiyal Chawl, Shri Ram Tailor Chawl,,Shastri Nagar, Kunchikurve Nagar,Santacruz (E)"
"HE 145 400055 Jamlipada,Old Cst Road,,Santacruz (E)",HE,145,400055,"Jamlipada,Old Cst Road,,Santacruz (E)"
"HE 146 400055 ,Yogiraj Ashram,Yashwant Nagar, Kadamwadi,Santacruz (E)",HE,146,400055,",Yogiraj Ashram,Yashwant Nagar, Kadamwadi,Santacruz (E)"
"HE 147 400055 ,Subhash Nagar, Ahinsa Nagar,Santacruz (E)",HE,147,400055,",Subhash Nagar, Ahinsa Nagar,Santacruz (E)"
"HW 148 400050 Slaughter House Compound,Maharashtra Road,Slaughter House Compound,Bandra (West)",HW,148,400050,"Slaughter House Compound,Maharashtra Road,Slaughter House Compound,Bandra (West)"
"HW 149 400050 Shripat Singh Chawl,Kadeshwari Mandir Road,Shripat Singh Chawl,Bandra (West)",HW,149,400050,"Shripat Singh Chawl,Kadeshwari Mandir Road,Shripat Singh Chawl,Bandra (West)"
"HW 150 400050 Pandit Din Dayal Chawl,St John Baptist Road,Pandit Din Dayal Chawl,Bandra (West)",HW,150,400050,"Pandit Din Dayal Chawl,St John Baptist Road,Pandit Din Dayal Chawl,Bandra (West)"
"HW 151 400050 Mahikbhai Chawl,Kadeshwari Mandir Marg Bandra W,Mahikbhia Chawl,Bandra (West)",HW,151,400050,"Mahikbhai Chawl,Kadeshwari Mandir Marg Bandra W,Mahikbhia Chawl,Bandra (West)"
"HW 152 400050 Rahul Nagar No-1, K C Marg,Rahul Nagar,Bandra (West)",HW,152,400050,"Rahul Nagar No-1, K C Marg,Rahul Nagar,Bandra (West)"
"HW 153 400050 Mahadev Birje Chawl,Dr Ambedkar Road,Mahadev Birje Chawl,Bandra (West)",HW,153,400050,"Mahadev Birje Chawl,Dr Ambedkar Road,Mahadev Birje Chawl,Bandra (West)"
"HW 154 400050 Nityanand Nagar,K.C. Marg,Nityanand Nagar,Bandra (West)",HW,154,400050,"Nityanand Nagar,K.C. Marg,Nityanand Nagar,Bandra (West)"
"HW 155 400050 Chawl Behind Behind Little Angel School,Dr Ambedkar Road,Pali Pathar,Bandra (West)",HW,155,400050,"Chawl Behind Behind Little Angel School,Dr Ambedkar Road,Pali Pathar,Bandra (West)"
"HW 156 400050 Pimpleshwar Wadi Dmello Chawl,Dr Peter Dais Road,Dmello Chawl,Bandra (West)",HW,156,400050,"Pimpleshwar Wadi Dmello Chawl,Dr Peter Dais Road,Dmello Chawl,Bandra (West)"
"HW 157 400050 78 Transit Camp,K.C. Marg,78 Transit Camp,Bandra (West)",HW,157,400050,"78 Transit Camp,K.C. Marg,78 Transit Camp,Bandra (West)"
"HW 158 400050 Jaffar Baba Clolony, Near Mount Mary Church,Jaffar Baba Clolony,Bandra (West)",HW,158,400050,"Jaffar Baba Clolony, Near Mount Mary Church,Jaffar Baba Clolony,Bandra (West)"
"HW 159 400050 G D Chavan House, Near Ganesh Mandir,Kadeshwari Mandir Marg,G D Chavan House, Near Ganesh Mandir,Bandra (West)",HW,159,400050,"G D Chavan House, Near Ganesh Mandir,Kadeshwari Mandir Marg,G D Chavan House, Near Ganesh Mandir,Bandra (West)"
"HW 160 400050 Meher Villa Chimbai,Perry Cross Road,Meher Villa Chimbai,Bandra (West)",HW,160,400050,"Meher Villa Chimbai,Perry Cross Road,Meher Villa Chimbai,Bandra (West)"
"HW 161 400050 Old Kantwadi Opposite Dhaval Ganga,Carter Road,Old Kantwadi,Bandra (West)",HW,161,400050,"Old Kantwadi Opposite Dhaval Ganga,Carter Road,Old Kantwadi,Bandra (West)"
"HW 162 400050 Pandurang Chawl Near Mount Mary Steps,St. John Bapist Road,Pandurang Chawl,Bandra (West)",HW,162,400050,"Pandurang Chawl Near Mount Mary Steps,St. John Bapist Road,Pandurang Chawl,Bandra (West)"
"HW 163 400050 Indiraji Nagar,Bazar Road,Indiraji Nagar Next To Highland Court Building,Bandra (West)",HW,163,400050,"Indiraji Nagar,Bazar Road,Indiraji Nagar Next To Highland Court Building,Bandra (West)"
"HW 164 400050 Joseph Villa Bandra Reclamation, Near Suman Building,Joseph Villa Bandra Reclamation,Bandra (West)",HW,164,400050,"Joseph Villa Bandra Reclamation, Near Suman Building,Joseph Villa Bandra Reclamation,Bandra (West)"
"HW 165 400050 Ganesh Nagar,Bj Road Bandstand Near Anand Juice Center,Ganesh Nagar,Bandra (West)",HW,165,400050,"Ganesh Nagar,Bj Road Bandstand Near Anand Juice Center,Ganesh Nagar,Bandra (West)"
"HW 166 400050 New Kant Wadi,Peri Cross Road,New Kant Wadi,Bandra (West)",HW,166,400050,"New Kant Wadi,Peri Cross Road,New Kant Wadi,Bandra (West)"
"HW 167 400050 Daya Amarsai Chawl,Bazar Road,Daya Amarsai Chawl,Bandra (West)",HW,167,400050,"Daya Amarsai Chawl,Bazar Road,Daya Amarsai Chawl,Bandra (West)"
"HW 168 400050 Chawl Near Akshata Hall,D'Monte Street,Chawl Near Akshata Hall,Bandra (West)",HW,168,400050,"Chawl Near Akshata Hall,D'Monte Street,Chawl Near Akshata Hall,Bandra (West)"
"HW 169 400050 Yeole Bhavan,National Library Road,,Bandra (West)",HW,169,400050,"Yeole Bhavan,National Library Road,,Bandra (West)"
"HW 170 400050 Navjivan Chawl 36, Near Joggers Park,Perry Cross Road,Navjivan Chawl 36, Near Joggers Park,Bandra (West)",HW,170,400050,"Navjivan Chawl 36, Near Joggers Park,Perry Cross Road,Navjivan Chawl 36, Near Joggers Park,Bandra (West)"
"HW 171 400052 Khar Danda,Ram Mandir Road,Khar Danda,Khar (West)",HW,171,400052,"Khar Danda,Ram Mandir Road,Khar Danda,Khar (West)"
"HW 172 400052 Janabai Ghadge Chawl, Mohite Chawl,",HW,172,400052,"Janabai Ghadge Chawl, Mohite Chawl,"
"HW 173 400052 Chuim Village,Ambedkar Road,Chuim Village,Khar (W)",HW,173,400052,"Chuim Village,Ambedkar Road,Chuim Village,Khar (W)"
"HW 174 400052 Shivaji Nagar,Nr Rajesh Khanna Garden, 17Th Road,Shivaji Nagar,Nr Rajesh Khanna Garden,Khar (W)",HW,174,400052,"Shivaji Nagar,Nr Rajesh Khanna Garden, 17Th Road,Shivaji Nagar,Nr Rajesh Khanna Garden,Khar (W)"
"HW 175 400052 Sai Prasad Chawl, Pali Pathar,Dr Ambedkar Road,Sai Prasad Chawl, Pali Pathar,Khar (W)",HW,175,400052,"Sai Prasad Chawl, Pali Pathar,Dr Ambedkar Road,Sai Prasad Chawl, Pali Pathar,Khar (W)"
"HW 176 400052 Sai Prasad Chawl,Near Little Angel School Pali Pathar,Dr Ambedkar Road,Sai Prasad Chawl,Near Little Angel School Pali Pathar,Khar (W)",HW,176,400052,"Sai Prasad Chawl,Near Little Angel School Pali Pathar,Dr Ambedkar Road,Sai Prasad Chawl,Near Little Angel School Pali Pathar,Khar (W)"
"HW 177 400054 Gazdharbandh,S B Patil Marg,Gazdharbandh,Santacruz (West)",HW,177,400054,"Gazdharbandh,S B Patil Marg,Gazdharbandh,Santacruz (West)"
"HW 178 400054 Piraji Shinde Chawl, Fatima Chawl,Kamble Chawl,Sv Road,Khotwadi,Santacruz (West)",HW,178,400054,"Piraji Shinde Chawl, Fatima Chawl,Kamble Chawl,Sv Road,Khotwadi,Santacruz (West)"
"HW 179 400054 Navjivan Rahivashi Sangh,Linking Road Extension,Near Hindu Cementary,Santacruz (West)",HW,179,400054,"Navjivan Rahivashi Sangh,Linking Road Extension,Near Hindu Cementary,Santacruz (West)"
"HW 180 400054 Ibrahim Chawl Garodiya Estate, Behind Bmc School,Ibrahim Chawl Garodiya Estate,Santacruz (West)",HW,180,400054,"Ibrahim Chawl Garodiya Estate, Behind Bmc School,Ibrahim Chawl Garodiya Estate,Santacruz (West)"
"HW 181 400054 Bmc Chawl, 2Nd Hasnabad Lane,,Santacruz (West)",HW,181,400054,"Bmc Chawl, 2Nd Hasnabad Lane,,Santacruz (West) Janta Seva Sangh, Mograpada, Indira Nagar,,Natwar Nagar,Natwar Nagar, Jogeshwari East"
"KE 186 400053 Saiwadi,,,,Andheri East",KE,186,400053,"Saiwadi,,,,Andheri East"
"KE 187 400053 Gundavli Gaothan,,,,Andheri East.",KE,187,400053,"Gundavli Gaothan,,,,Andheri East."
"KE 188 400053 Koldongri,,,,Andheri East",KE,188,400053,"Koldongri,,,,Andheri East"
"KE 189 400057 Mahatma Kabir Nagar,Sahar Road,,Chakala, Vile Parle East",KE,189,400057,"Mahatma Kabir Nagar,Sahar Road,,Chakala, Vile Parle East"
"KE 190 400057 Vitthalwadi,Bhagawati Wadi,,Dayaldas Road,,Vileparle ( E )",KE,190,400057,"Vitthalwadi,Bhagawati Wadi,,Dayaldas Road,,Vileparle ( E )"
"KE 191 400059 Hanuman Nagar, Pump House,,Natwar Nagar,Andheri East",KE,191,400059,"Hanuman Nagar, Pump House,,Natwar Nagar,Andheri East"
"KE 192 400059 Sariput Nagar,,,Andheri East",KE,192,400059,"Sariput Nagar,,,Andheri East"
"KE 193 400059 Sagbaug,Marol,,Andheri East",KE,193,400059,"Sagbaug,Marol,,Andheri East"
"KE 194 400059 Marol Pipeline North,Marol,,Andheri East",KE,194,400059,"Marol Pipeline North,Marol,,Andheri East"
"KE 195 400059 Bhandarwada Mapkhan,Marol,,Andheri East",KE,195,400059,"Bhandarwada Mapkhan,Marol,,Andheri East"
"KE 196 400059 Bamanpada Ganeshpada,Off. Marol Military Road,,Andheri-East",KE,196,400059,"Bamanpada Ganeshpada,Off. Marol Military Road,,Andheri-East"
"KE 197 400060 Prem Nagar,,,Jogeshwari East",KE,197,400060,"Prem Nagar,,,Jogeshwari East"
"KE 198 400060 Meghwadi,,,Jogeshwari East",KE,198,400060,"Meghwadi,,,Jogeshwari East"
"KE 199 400060 Harinagar,,,Jogeshwari East",KE,199,400060,"Harinagar,,,Jogeshwari East"
"KE 200 400060 Gandhinagar,,,Jogeshwari East",KE,200,400060,"Gandhinagar,,,Jogeshwari East"
"KE 201 400060 Franciswadi,,Natwar Nagar,Jogeshwari ( E)",KE,201,400060,"Franciswadi,,Natwar Nagar,Jogeshwari ( E)"
"KE 202 400060 Majaswadi,,,,Jogeshwari East",KE,202,400060,"Majaswadi,,,,Jogeshwari East"
"KE 203 400060 Shiv Tekdi,,,,Jogeshwari East",KE,203,400060,"Shiv Tekdi,,,,Jogeshwari East"
"KE 204 400060 Ramwadi,,,,Jogeshwari East.",KE,204,400060,"Ramwadi,,,,Jogeshwari East."
"KE 205 400060 Bandrekarwadi,,,Jogeshwari (E)",KE,205,400060,"Bandrekarwadi,,,Jogeshwari (E)"
"KE 206 400069 Ambewadi,R K Singh Marg,Natwar Nagar,Andheri East",KE,206,400069,"Ambewadi,R K Singh Marg,Natwar Nagar,Andheri East"
"KE 207 400093 Saraswati Chawl, Goni Nagar,,,Andheri East",KE,207,400093,"Saraswati Chawl, Goni Nagar,,,Andheri East"
"KE 208 400093 Gautam Nagar,Midc,,Andheri East",KE,208,400093,"Gautam Nagar,Midc,,Andheri East"
"KE 209 400093 Malpadongari,,,,Andheri (E)",KE,209,400093,"Malpadongari,,,,Andheri (E)"
"KE 210 400093 Subhash Nagar,,,,Andheri East",KE,210,400093,"Subhash Nagar,,,,Andheri East"
"KE 211 400093 Kondivita, Saibhagwan Nagar,,Midc,,,Andheri East",KE,211,400093,"Kondivita, Saibhagwan Nagar,,Midc,,,Andheri East"
"KE 212 400093 Tarun Bharat,,Chakala,,,Andheri East",KE,212,400093,"Tarun Bharat,,Chakala,,,Andheri East"
"KE 213 400093 Plot 60 Valmiki Nagar Bhim Nagar,Midc,,Andheri East",KE,213,400093,"Plot 60 Valmiki Nagar Bhim Nagar,Midc,,Andheri East"
"KE 214 400099 Parsiwada+Kajuwadi,,,Chakala, Andheri East",KE,214,400099,"Parsiwada+Kajuwadi,,,Chakala, Andheri East"
"KE 215 400099 Bamanwada, Ambedkar Nagar,Samrat Ashok Nagar, Ambewadi, Sanjay Gandhi Nagar,,,Andheri East",KE,215,400099,"Bamanwada, Ambedkar Nagar,Samrat Ashok Nagar, Ambewadi, Sanjay Gandhi Nagar,,,Andheri East"
"KE 216 400099 Shastri Nagar,,,Vile Parle East",KE,216,400099,"Shastri Nagar,,,Vile Parle East"
"KE 217 400099 Shanti Nagar,Sahargaon,,Andheri East",KE,217,400099,"Shanti Nagar,Sahargaon,,Andheri East"
"KE 218 400099 Nehru Nagar,Sahargaon,,Andheri East",KE,218,400099,"Nehru Nagar,Sahargaon,,Andheri East"
"KE 219 400099 Chimatpada,Marol,,Andheri East",KE,219,400099,"Chimatpada,Marol,,Andheri East"
"KE 220 400099 Navpada,Marol,,Andheri East",KE,220,400099,"Navpada,Marol,,Andheri East"
"KE 221 400099 Dr. Rajendra Prasad Nagar,,,Vile Parle ( E)",KE,221,400099,"Dr. Rajendra Prasad Nagar,,,Vile Parle ( E)"
"KE 222 400099 Bamanwada Hills,Tarun Bharat,Mc Chagla Marg,,Vileparle East",KE,222,400099,"Bamanwada Hills,Tarun Bharat,Mc Chagla Marg,,Vileparle East"
"KW 223 400049 Ganesh Gully,Vm Road,Nehru Nagar,Andheri W",KW,223,400049,"Ganesh Gully,Vm Road,Nehru Nagar,Andheri W"
"KW 224 400049 Juhu Koliwada,Juhu Tara Road,Juhu Koliwada,Santacruz West",KW,224,400049,"Juhu Koliwada,Juhu Tara Road,Juhu Koliwada,Santacruz West"
"KW 225 400049 Mangel Wadi,Juhu Tara Road,Mangelawadi,Santacruz West",KW,225,400049,"Mangel Wadi,Juhu Tara Road,Mangelawadi,Santacruz West"
"KW 226 400049 Ganesh Soc.,K K Ganguli Road,Ganesh Society,Santacruz West",KW,226,400049,"Ganesh Soc.,K K Ganguli Road,Ganesh Society,Santacruz West"
"KW 227 400049 Shivaji Nagar .01,K.K Ganguli Marg,Shivaji Nagar,Santa Cruz West",KW,227,400049,"Shivaji Nagar .01,K.K Ganguli Marg,Shivaji Nagar,Santa Cruz West"
"KW 228 400049 Amrutlal Wadi,Gandhi Gram Road,Amrutlal Wadi Juhu,Andheri West",KW,228,400049,"Amrutlal Wadi,Gandhi Gram Road,Amrutlal Wadi Juhu,Andheri West"
"KW 229 400053 Sawant Chawl,Off J.P Road,Dhake Colony,Azad Nagar",KW,229,400053,"Sawant Chawl,Off J.P Road,Dhake Colony,Azad Nagar"
"KW 230 400053 Achanak Nagar,Veera Desai Road,Jeevan Nagar,Andheriw",KW,230,400053,"Achanak Nagar,Veera Desai Road,Jeevan Nagar,Andheriw"
"KW 231 400053 Kasam Nagar,New Link Road,Kasam Nagar,Andheri West",KW,231,400053,"Kasam Nagar,New Link Road,Kasam Nagar,Andheri West"
"KW 232 400053 Shakti Nagar,D.N Nagar Road,Near Ambe Mata Mandir,Andheri West",KW,232,400053,"Shakti Nagar,D.N Nagar Road,Near Ambe Mata Mandir,Andheri West"
"KW 233 400053 Siddharth Nagar,Svp Nagar Mhada,Siddharth Nagar,Andheri West",KW,233,400053,"Siddharth Nagar,Svp Nagar Mhada,Siddharth Nagar,Andheri West"
"KW 234 400053 Niwate Chawl,Old Fisharies Road,J.P Wadi Seven Bunglow,Andheri West",KW,234,400053,"Niwate Chawl,Old Fisharies Road,J.P Wadi Seven Bunglow,Andheri West"
"KW 235 400056 Shastri Nagar,Irla Soc. Road,Shashtri Nagar,Ville Parle West",KW,235,400056,"Shastri Nagar,Irla Soc. Road,Shashtri Nagar,Ville Parle West"
"KW 236 400056 Charli Misqutta Chawl,St.Fransis Road,Vile Parle Gaonthan,Vile Parle West",KW,236,400056,"Charli Misqutta Chawl,St.Fransis Road,Vile Parle Gaonthan,Vile Parle West"
"KW 237 400056 Criyado Chawl,Dadabhai Navroji Road No.1,Tape Village,Andheri West",KW,237,400056,"Criyado Chawl,Dadabhai Navroji Road No.1,Tape Village,Andheri West"
"KW 238 400056 Ambe Mata Chouk,Dadhabhai Cross Road,Ambe Mata Chouk,Vile Parle West",KW,238,400056,"Ambe Mata Chouk,Dadhabhai Cross Road,Ambe Mata Chouk,Vile Parle West"
"KW 239 400056 Misqutta Compund,Baji Prabhu Road,Pond Goanthan Old Police Lane,Vile Parle West",KW,239,400056,"Misqutta Compund,Baji Prabhu Road,Pond Goanthan Old Police Lane,Vile Parle West"
"KW 240 400058 Mehtab Baba Chawl,Dhangar Wadi,Gilbert Hill,Andheri West",KW,240,400058,"Mehtab Baba Chawl,Dhangar Wadi,Gilbert Hill,Andheri West"
"KW 241 400058 Bhima Rathod Chawl,Cama Road,Gaondevi Dongri,Andheri West",KW,241,400058,"Bhima Rathod Chawl,Cama Road,Gaondevi Dongri,Andheri West"
"KW 242 400058 Junaid Nagar,C D Barfiwala Road,Junaid Nagar,Andheri West",KW,242,400058,"Junaid Nagar,C D Barfiwala Road,Junaid Nagar,Andheri West"
"KW 243 400058 Ashok Cottage,Juhu Lane,Juhu Galli,Andheri West",KW,243,400058,"Ashok Cottage,Juhu Lane,Juhu Galli,Andheri West"
"KW 244 400058 Pirubhai Chawl,Ceasar Road,Amboli,Andheri West",KW,244,400058,"Pirubhai Chawl,Ceasar Road,Amboli,Andheri West"
"KW 245 400058 Indira Nagar No.02,Kanchi Bai Desai Road,Indira Nagar,Vile Parle West",KW,245,400058,"Indira Nagar No.02,Kanchi Bai Desai Road,Indira Nagar,Vile Parle West"
"KW 246 400058 Parul Juhu Church,Juhu Road,Juhu Gaonthan,Andheri West",KW,246,400058,"Parul Juhu Church,Juhu Road,Juhu Gaonthan,Andheri West"
"KW 247 400058 Narayan Sanghare Chawl,,Mhatarpada,Andheri West",KW,247,400058,"Narayan Sanghare Chawl,,Mhatarpada,Andheri West"
"KW 248 400058 Hadap Nagar,Irla Soc.Road,Prem Nagar,Andheri West",KW,248,400058,"Hadap Nagar,Irla Soc.Road,Prem Nagar,Andheri West"
"KW 249 400058 Shyam Nagar Khadan,Veera Desai Road,Shyam Nagar,Andheri West",KW,249,400058,"Shyam Nagar Khadan,Veera Desai Road,Shyam Nagar,Andheri West"
"KW 250 400058 Jagirilal Panwala Chawl,S.V Road,Kevni Pada,Andheri W",KW,250,400058,"Jagirilal Panwala Chawl,S.V Road,Kevni Pada,Andheri W"
"KW 251 400058 Gandhi Chawl,Irla Brige,Dhobi Ghat,Andheri West",KW,251,400058,"Gandhi Chawl,Irla Brige,Dhobi Ghat,Andheri West"
"KW 252 400058 Pandu Mistri Chawl,Veera Desai Road,Sarotapada,Andheri West",KW,252,400058,"Pandu Mistri Chawl,Veera Desai Road,Sarotapada,Andheri West"
"KW 253 400058 Pawar Chawl,V.L Sawant Road,Dhakuseth Pada,Andheri West",KW,253,400058,"Pawar Chawl,V.L Sawant Road,Dhakuseth Pada,Andheri West"
"KW 254 400058 Aloowadi,S.V Road,Hanuman Nagar,Andheri West",KW,254,400058,"Aloowadi,S.V Road,Hanuman Nagar,Andheri West"
"KW 255 400058 Shiv Nagar,Transist Camp,Shiv Nagar,Andheri West",KW,255,400058,"Shiv Nagar,Transist Camp,Shiv Nagar,Andheri West"
"KW 256 400061 Ramdev Naik Chawl,Yari Road,Versova Village,Andheri West",KW,256,400061,"Ramdev Naik Chawl,Yari Road,Versova Village,Andheri West"
"KW 257 400061 Sagar Kutir Seva Sangh,J . P Road,Sagar Kutir,Andheri W",KW,257,400061,"Sagar Kutir Seva Sangh,J . P Road,Sagar Kutir,Andheri W"
"KW 258 400102 Bmc Colony Sector 2,New Link Road,Anand Nagar,Jogeshwari West",KW,258,400102,"Bmc Colony Sector 2,New Link Road,Anand Nagar,Jogeshwari West"
"KW 259 400102 Kismat Nagar,New Link Road,Behraum Baug,Jogeshwari West",KW,259,400102,"Kismat Nagar,New Link Road,Behraum Baug,Jogeshwari West"
"KW 260 400102 Ram Janak Singh Chawl,,Gulshan Nagar,Jogeshwari W",KW,260,400102,"Ram Janak Singh Chawl,,Gulshan Nagar,Jogeshwari W"
"KW 261 400102 Ram Dulhar Chawl,Sahakar Road,Yadav Nagar,Jogeshwari West",KW,261,400102,"Ram Dulhar Chawl,Sahakar Road,Yadav Nagar,Jogeshwari West"
"KW 262 400102 Ramkarn Chawl,Seva Nagar,Seva Nagar,Jogeshwari West",KW,262,400102,"Ramkarn Chawl,Seva Nagar,Seva Nagar,Jogeshwari West"
"KW 263 400102 Namavar Singh Chawl,S.V. Road,Near Jvlr,Jogeshwari West",KW,263,400102,"Namavar Singh Chawl,S.V. Road,Near Jvlr,Jogeshwari West"
"KW 264 400102 Nepali Chawl,New Link Road,Vikas Nagar,Jogeshwari West",KW,264,400102,"Nepali Chawl,New Link Road,Vikas Nagar,Jogeshwari West"
"KW 265 400102 Mansap Chawl,New Link Road,Shakti Nagar,Jogeshwari West",KW,265,400102,"Mansap Chawl,New Link Road,Shakti Nagar,Jogeshwari West"
"KW 266 400102 Vikas Nagar,Baheram Baug Road,Vikas Nagar,Jogeshwari West",KW,266,400102,"Vikas Nagar,Baheram Baug Road,Vikas Nagar,Jogeshwari West"
"KW 267 400102 Bhagwan Raja Nagar,Patel Estate Road,Patel Estate Road,Jogeshwari West",KW,267,400102,"Bhagwan Raja Nagar,Patel Estate Road,Patel Estate Road,Jogeshwari West"
"KW 268 400102 Parera Compund,S.V Road,Ajit Glass Slum,Jogeshwari West",KW,268,400102,"Parera Compund,S.V Road,Ajit Glass Slum,Jogeshwari West"
"KW 269 400102 Girija Niwas,Captain Sawant Marg,Shastri Nagar,Jogeshwari West",KW,269,400102,"Girija Niwas,Captain Sawant Marg,Shastri Nagar,Jogeshwari West"
"KW 270 400102 Changan Purushottam Chawl,Jogeshwari Station Road,Gandhi Nagar,Jogeshwari West",KW,270,400102,"Changan Purushottam Chawl,Jogeshwari Station Road,Gandhi Nagar,Jogeshwari West"
"L 271 400022 Madhu Swapna Chawl, Mohan Nagar,Hill Road,Near Muktadevi Mandir,Chunabhatti",L,271,400022,"Madhu Swapna Chawl, Mohan Nagar,Hill Road,Near Muktadevi Mandir,Chunabhatti"
"L 272 400022 Siwadashi Mill Chaal,Swadeshi Mill Road,Swadeshi Mill,Chunabhatti,Mumbai",L,272,400022,"Siwadashi Mill Chaal,Swadeshi Mill Road,Swadeshi Mill,Chunabhatti,Mumbai"
"L 273 400022 Keashwani Chawl,Vn Purav Marg,Hanuman Galli,Ambika Estate,Chunabhatti",L,273,400022,"Keashwani Chawl,Vn Purav Marg,Hanuman Galli,Ambika Estate,Chunabhatti"
"L 274 400024 Haji Sultan Chawl,,Qureshi Nagar,Kurla E",L,274,400024,"Haji Sultan Chawl,,Qureshi Nagar,Kurla E"
"L 275 400024 Navjeevan Rahiwashi Sangh,S.G.Barve Marg,Opp. Kamgar Nagar,Kurla (E) Mumbai",L,275,400024,"Navjeevan Rahiwashi Sangh,S.G.Barve Marg,Opp. Kamgar Nagar,Kurla (E) Mumbai"
"L 276 400024 Fatimabi Shah Mohd Chawl,S.G.Barve Marg,Near Navnihal Committee, Qureshinagar,Kurla East Mumbai",L,276,400024,"Fatimabi Shah Mohd Chawl,S.G.Barve Marg,Near Navnihal Committee, Qureshinagar,Kurla East Mumbai"
"L 277 400024 Dadamiya Usmaan Chawl,Ashok Samrat Road,Near Jamaat Khana, Qureshinagar,Kurla East Mumbai",L,277,400024,"Dadamiya Usmaan Chawl,Ashok Samrat Road,Near Jamaat Khana, Qureshinagar,Kurla East Mumbai"
"L 278 400024 Qureshinagar,Ashok Samrat Road,Behind Vivek School,Kurla East, Mumbai",L,278,400024,"Qureshinagar,Ashok Samrat Road,Behind Vivek School,Kurla East, Mumbai"
"L 279 400024 Alidada Estate,S G Barve Marg,Near Aatachakki, Dhobighat,Kurla East Mumbai",L,279,400024,"Alidada Estate,S G Barve Marg,Near Aatachakki, Dhobighat,Kurla East Mumbai"
